seq,latency_ms
6,6.6125
7,10.0655
8,5.0465
9,8.8342
10,3.5599
11,7.4379
12,2.2141
13,5.2476
14,8.6534
15,3.5000
16,7.5088
17,10.9350
18,5.8014
19,8.6024
20,3.6674
21,2.7685
22,9.1295
23,5.1229
24,4.1357
25,7.9477
26,11.4542
27,6.3249
28,3.1359
29,2.2594
30,3.9564
31,8.1157
32,2.9086
33,6.6647
34,10.1118
35,4.8422
36,8.1919
37,3.0648
38,7.8522
39,5.3014
40,3.0812
41,3.7452
42,7.4673
43,6.6942
44,2.5726
45,4.3341
46,7.8380
47,2.7149
48,7.3417
49,11.0009
50,6.5211
51,3.3787
52,9.2415
53,8.2755
54,5.4589
55,8.9783
56,3.6138
57,7.5795
58,10.7812
59,8.9263
60,3.8622
61,6.9347
62,10.1735
63,7.5920
64,3.3195
65,6.2213
66,10.8892
67,8.9679
68,3.8451
69,8.4308
70,11.7277
71,6.2340
72,4.7231
73,7.4595
74,10.9499
75,4.8002
76,8.7304
77,3.2310
78,6.8848
79,2.5161
80,4.7182
81,8.0336
82,3.0497
83,6.2284
84,9.2932
85,4.7880
86,3.2867
87,7.7328
88,4.3595
89,5.7736
90,2.8945
91,6.1387
92,2.9965
93,6.2358
94,8.8995
95,3.9730
96,9.6837
97,6.0278
98,8.4140
99,5.4967
100,2.7776
101,7.5305
102,2.1851
103,4.9490
104,7.6967
105,3.0000
106,7.7083
107,11.0953
108,6.0618
109,8.6190
110,4.1193
111,6.8848
112,5.6485
113,8.6833
114,8.3779
115,3.0687
116,9.0147
117,4.7998
118,8.1898
119,2.8455
120,6.8363
121,2.6139
122,4.3523
123,7.8794
124,2.6718
125,6.1332
126,9.6610
127,6.1105
128,5.2396
129,8.0747
130,7.6860
131,10.7148
132,5.5776
133,8.5959
134,4.7885
135,9.0106
136,3.8515
137,7.4080
138,10.6490
139,5.3536
140,9.1736
141,3.7665
142,7.2763
143,2.3571
144,8.1783
145,3.2603
146,8.9836
147,3.8849
148,9.2862
149,8.4495
150,3.2124
151,10.1779
152,4.1117
153,7.8587
154,11.4658
155,6.3852
156,6.0555
157,9.0737
158,5.3542
159,8.9900
160,3.8004
161,6.7320
162,9.3187
163,4.2618
164,8.0289
165,4.2249
166,7.7685
167,3.9285
168,6.8672
169,6.0225
170,9.2927
171,3.2318
172,7.0293
173,6.0337
174,8.7691
175,5.6801
176,9.7796
177,8.3325
178,5.5016
179,8.0950
180,3.8545
181,6.8113
182,10.2179
183,6.1028
184,3.2657
185,8.4096
186,11.7042
187,6.5346
188,3.2989
189,5.6857
190,8.2785
191,4.0936
192,6.8781
193,10.3672
194,4.8785
195,3.7710
196,6.1116
197,9.5166
198,4.2944
199,2.4360
200,8.3510
201,5.1606
202,9.5135
203,4.4290
204,7.6455
205,4.2061
206,6.8216
207,5.2799
208,8.7404
209,3.7403
210,7.2734
211,4.4477
212,7.1920
213,10.9105
214,10.3509
215,5.4673
216,2.7175
217,6.2815
218,9.4017
219,4.2481
220,9.4572
221,7.0023
222,11.2629
223,8.5436
224,3.4775
225,3.2936
226,3.2229
227,8.1737
228,3.0392
229,7.9037
230,3.6030
231,5.4866
232,8.9699
233,4.1192
234,2.2276
235,4.5264
236,7.4235
237,2.0735
238,4.9780
239,7.7370
240,5.1268
241,2.4110
242,5.7193
243,8.1993
244,3.3650
245,5.8658
246,9.3842
247,3.8568
248,8.3692
249,2.9719
250,5.6192
251,2.2149
252,5.0048
253,7.9710
254,4.9372
255,7.8929
256,11.0904
257,5.9681
258,8.8873
259,4.6039
260,6.0950
261,3.2760
262,5.7841
263,9.2169
264,4.1241
265,6.9029
266,10.3568
267,5.2190
268,8.1069
269,6.0703
270,3.2540
271,6.5217
272,2.9786
273,4.7717
274,7.4499
275,4.4284
276,3.9038
277,6.8947
278,10.3104
279,5.1437
280,8.0156
281,11.5642
282,10.2610
283,6.9883
284,3.0125
285,5.8855
286,9.3426
287,4.1781
288,6.9804
289,10.6740
290,5.9206
291,3.0557
292,8.2222
293,5.3981
294,8.9816
295,3.8405
296,7.4495
297,5.3872
298,3.8912
299,7.4236
300,2.6843
301,5.4942
302,10.0950
303,6.1097
304,8.1187
305,3.0713
306,10.0608
307,9.7652
308,4.4848
309,2.2574
310,6.7885
311,5.2225
312,4.5547
313,9.0441
314,4.7979
315,7.8077
316,11.4093
317,6.1630
318,9.3081
319,3.9899
320,7.5027
321,6.0590
322,2.5378
323,3.7577
324,8.9665
325,3.9501
326,8.1807
327,11.6613
328,6.4588
329,3.0678
330,5.1186
331,10.4027
332,5.3201
333,2.1245
334,5.1379
335,9.0595
336,7.2205
337,4.4192
338,7.4928
339,11.0325
340,9.7233
341,4.5632
342,3.9957
343,6.9737
344,10.4230
345,5.0855
346,8.8338
347,3.7558
348,7.1912
349,4.0369
350,4.7167
351,8.2487
352,2.8727
353,5.7241
354,9.3377
355,3.7022
356,7.1942
357,9.6820
358,5.3545
359,2.9984
360,4.6385
361,3.6717
362,6.8875
363,2.5587
364,4.9877
365,8.9512
366,3.8404
367,6.8737
368,10.2522
369,6.0576
370,4.2380
371,7.9560
372,2.9081
373,6.2141
374,2.4482
375,2.1568
376,4.9510
377,7.4082
378,3.5897
379,5.1458
380,8.4475
381,3.1139
382,6.0506
383,5.5157
384,8.1945
385,3.9065
386,8.2607
387,6.2953
388,9.0612
389,3.7085
390,7.3719
391,10.8090
392,6.6651
393,2.2672
394,4.4455
395,9.0340
396,8.2875
397,4.2880
398,8.3203
399,2.8741
400,6.3195
401,9.0374
402,8.1323
403,2.9109
404,6.5892
405,9.4607
406,4.4977
407,7.6738
408,3.2725
409,5.1368
410,8.6784
411,2.5978
412,8.0503
413,3.0991
414,6.5045
415,2.3160
416,4.3986
417,7.5745
418,2.7819
419,5.1356
420,8.0444
421,4.8600
422,7.7342
423,11.1627
424,6.0156
425,3.5650
426,3.9556
427,7.4151
428,2.3432
429,5.1523
430,8.6003
431,3.4160
432,7.1413
433,4.3954
434,7.3700
435,3.0607
436,6.3247
437,11.3112
438,5.8906
439,9.0003
440,8.2148
441,3.1350
442,10.1187
443,5.3612
444,4.6835
445,7.5251
446,6.3210
447,11.1652
448,5.8797
449,8.6996
450,3.8306
451,6.8094
452,2.3165
453,7.3142
454,9.9250
455,9.6343
456,5.1362
457,8.0413
458,11.6156
459,6.4778
460,4.9096
461,4.5910
462,3.5472
463,3.4167
464,9.2840
465,3.8481
466,11.1431
467,6.2075
468,9.0471
469,4.0608
470,8.7307
471,4.5745
472,7.4514
473,6.9176
474,10.4964
475,8.1710
476,4.0050
477,7.6335
478,11.0942
479,5.9585
480,2.7350
481,6.3821
482,10.0646
483,6.8483
484,3.1636
485,5.5073
486,8.9750
487,3.9678
488,6.8893
489,11.2562
490,5.9675
491,8.9292
492,3.7268
493,7.2024
494,2.5146
495,5.5113
496,9.0045
497,3.7947
498,6.7835
499,5.7002
500,8.9554
501,3.8918
502,7.5259
503,11.1326
504,8.9141
505,5.9752
